zone
# CFD data - standard grid
# x/c     Cp
   0.5328424      0.7746283    
   0.5666006      0.6784200    
   0.6010724      0.5850983    
   0.6350847      0.4969197    
   0.6678210      0.4156061    
   0.6991364      0.3447852    
   0.7289147      0.2849102    
   0.7568046      0.2367986    
   0.7828758      0.2012487    
   0.8072214      0.1746352    
   0.8295406      0.1555575    
   0.8500262      0.1429255    
   0.8686904      0.1335953    
   0.8855207      0.1270835    
   0.9006820      0.1225769    
   0.9142303      0.1190198    
   0.9262455      0.1168123    
   0.9369538      0.1149752    
   0.9462929      0.1133191    
   0.9545304      0.1122696    
   0.9617664      0.1107837    
   0.9680107      0.1092063    
   0.9734600      0.1074374    
   0.9782009      0.1051766    
   0.9822890      0.1024476    
   0.9858059      9.9160843E-02
   0.9888467      9.5114104E-02
   0.9914696      9.0264842E-02
   0.9937169      8.4349081E-02
   0.9956390      7.8829266E-02
   0.9972919      7.1585171E-02
   0.9987116      7.4969865E-02
   0.9999281      7.3024198E-02
zone
# EXP data
# x/c     Cp
   0.0000000E+00   6.200000    
   2.9999999E-02  -1.000000    
   0.1000000     -0.7100000    
   0.2000000     -0.5000000    
   0.3000000     -0.4300000    
   0.4000000     -0.3600000    
   0.5000000     -0.2900000    
   0.6000000     -0.2200000    
   0.7000000     -0.1700000    
   0.8000000     -0.1100000    
   0.9000000      0.0000000E+00
    1.000000      0.3600000    
   0.0000000E+00   6.200000    
   1.7000001E-02   5.110000    
   2.9999999E-02   3.690000    
   0.1000000       2.830000    
   0.2000000       2.170000    
   0.3000000       1.760000    
   0.4000000       1.380000    
   0.5000000       1.020000    
   0.6000000      0.7200000    
   0.7000000      0.5400000    
   0.8000000      0.4700000    
   0.9000000      0.4600000    
    1.000000      0.3600000    
